순번,종목,1급 스포츠지도사(전문체육)_2024년,1급 스포츠지도사(전문체육)_2023년,1급 스포츠지도사(전문체육)_2022년 이전,2급 스포츠지도사(전문체육)_2024년,2급 스포츠지도사(전문체육)_2023년,2급 스포츠지도사(전문체육)_2022년 이전,1급 스포츠지도사(생활체육)_2024년,1급 스포츠지도사(생활체육)_2023년,1급 스포츠지도사(생활체육)_2022년 이전,2급 스포츠지도사(생활체육)_2024년,2급 스포츠지도사(생활체육)_2023년,2급 스포츠지도사(생활체육)_2022년 이전,건강운동관리사_2024년,건강운동관리사_2023년,건강운동관리사_2022년 이전,1급 장애인스포츠지도사_2024년,1급 장애인스포츠지도사_2023년,1급 장애인스포츠지도사_2022년 이전,2급 장애인스포츠지도사_2024년,2급 장애인스포츠지도사_2023년,2급 장애인스포츠지도사_2022년 이전,유소년스포츠지도사_2024년,유소년스포츠지도사_2023년,유소년스포츠지도사_2022년 이전,노인스포츠지도사_2024년,노인스포츠지도사_2023년,노인스포츠지도사_2022년 이전
11,루지,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,배구,0,0,34,57,108,1552,1,3,423,208,243,3458,0,0,0,1,0,0,123,59,594,57,37,475,43,28,265
13,배드민턴,2,0,55,41,108,1355,3,0,720,204,349,14890,0,0,0,0,2,6,54,47,463,114,94,1063,107,80,619
14,보디빌딩,1,0,43,26,48,812,34,24,2054,6550,8379,95275,0,0,0,0,0,0,0,0,0,533,399,2296,1210,936,5492
15,복싱,0,1,31,38,35,880,0,4,74,178,178,3085,0,0,0,0,0,0,0,0,0,25,20,86,19,9,71
16,볼링,0,0,25,32,44,757,1,0,426,57,68,6874,0,0,0,1,0,0,32,23,155,22,9,87,19,8,101
17,빙상,1,3,32,39,78,799,2,3,93,20,42,1183,0,0,0,0,0,0,0,0,0,16,3,29,10,3,13
18,사격,0,2,113,30,31,1195,0,2,25,4,11,79,0,0,0,1,0,8,2,6,77,3,6,39,10,2,30
19,사이클,3,2,40,16,23,494,0,0,0,0,0,5,0,0,0,0,0,0,4,1,52,0,0,1,0,0,0
20,등산,0,0,0,0,0,0,12,24,157,241,269,764,0,0,0,0,0,0,0,0,0,18,13,45,9,4,37
21,세팍타크로,0,0,9,4,2,133,0,0,17,2,5,22,0,0,0,0,0,0,0,0,0,2,1,3,3,0,4
22,소프트볼,2,0,11,8,7,178,1,3,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,수상스키,0,0,5,3,2,130,0,0,84,7,3,259,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
24,수영,2,1,85,97,102,1776,11,14,1794,979,881,24848,0,0,0,0,2,2,139,68,508,76,63,671,94,64,631
25,스킨스쿠버,0,0,0,0,0,4,0,1,69,3,5,196,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
26,스쿼시,1,2,13,12,7,143,0,1,157,11,11,2998,0,0,0,0,0,0,0,0,0,2,1,31,1,1,16
27,스키,1,1,51,4,18,408,2,0,389,29,32,1387,0,0,0,0,0,0,0,0,0,5,7,26,1,3,14
28,승마,0,0,45,7,6,264,0,0,42,36,35,1619,0,0,0,0,0,0,21,34,97,6,5,106,4,4,63
29,씨름,1,0,4,21,31,515,0,0,38,7,3,436,0,0,0,0,0,0,0,0,0,2,3,64,2,4,17
30,아이스하키,3,3,33,20,18,351,1,0,4,1,0,16,0,0,0,1,2,2,3,2,36,1,1,2,0,0,1
31,야구,0,3,18,256,259,3991,1,2,218,104,147,1753,0,0,0,0,0,0,0,0,0,33,13,141,17,12,49
32,양궁,0,0,38,36,29,793,1,3,22,5,17,30,0,0,0,1,1,4,10,6,50,9,10,23,4,5,14
33,에어로빅,0,0,0,0,3,54,1,3,319,32,28,14766,0,0,0,0,0,0,0,0,0,11,14,305,39,20,1306
34,역도,3,5,59,36,36,730,0,0,0,0,0,0,0,0,0,0,0,4,68,83,463,0,0,0,0,0,0
35,오리엔티어링,0,0,0,0,0,0,2,5,59,13,6,221,0,0,0,0,0,0,0,0,0,4,0,21,2,1,24
36,요트,0,0,32,11,11,350,0,0,22,5,4,605,0,0,0,0,0,1,11,10,48,1,6,11,0,1,7
37,우슈,0,1,20,6,3,328,0,1,57,37,38,1094,0,0,0,0,0,0,0,0,0,8,8,30,23,21,78
